Im Filialzielbestand bis spätestens;Quelle;Product Type;Product Mandator Country Id;Product Id; Einkaufspreis (teilweise Lagerwert) ;Stück pro Filiale;Bemerkungen;Einkaufswert;;Verfügbarkeit;Anpassung der Anzahl;;;Legende:
24.05.2024;Top 1000 Artikel;Festplatte;IronWolf;11697489; CHF 255.24 ;1;; CHF 255.24 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Festplatte;IronWolf;12243540; CHF 184.92 ;2;; CHF 369.84 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Festplatte;Red Plus 2021;14726157; CHF 271.02 ;1;; CHF 271.02 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Festplatte;BarraCuda;10376097; CHF 136.62 ;1;; CHF 136.62 ;AJ;;;;;
24.05.2024;;Festplatte;"Exos X20 (20 TB; 3.5""; CMR)";17795518; CHF 257.92 ;1;; CHF 257.92 ;AJ;;;;;
24.05.2024;;Festplatte;"IronWolf (4 TB; 3.5""; CMR)";18761453; CHF 70.35 ;2;; CHF 140.70 ;AJ;;;;;
24.05.2024;;Festplatte;"IronWolf Pro High WRL (16 TB; 3.5""; CMR)";21950866; CHF 288.27 ;1;; CHF 288.27 ;AJ;;;;;
24.05.2024;;Festplatte;"Red Plus (6 TB; 3.5""; CMR)";22886687; CHF 118.99 ;2;; CHF 237.98 ;AJ;;;;;
24.05.2024;;Festplatte;"Red Plus (4 TB; 3.5""; CMR)";22886688; CHF 75.94 ;2;; CHF 151.88 ;AJ;;;;;
;;Festplatte;"BarraCuda (2 TB; 3.5""; SMR)";9302108; CHF 42.92 ;2;; CHF 85.84 ;AJ;;;;;
;;Festplatte;"Red Plus (2 TB; 3.5""; CMR)";32969145; CHF 69.67 ;2;; CHF 139.34 ;AJ;;;;;
24.05.2024;Top Galaxus;Fotopapier;"RP-108 (120 g/m²; Foto (10x15cm); 108 x)";5839748; CHF 19.01 ;2;; CHF 38.03 ;AJ;;;;;
24.05.2024;Top Galaxus;Fotopapier;"KP-108IN (Foto (10x15cm); 108 x)";212339; CHF 19.51 ;2;; CHF 39.03 ;AJ;;;;;
24.05.2024;;Föhn;Swiss Perfection Typ 440;395198; CHF 52.70 ;1;; CHF 52.70 ;AJ;;;;;
24.05.2024;;Föhn;HC 50;5662699; CHF 20.99 ;1;; CHF 20.99 ;AJ;;;;;
;;Föhn;Swift Special Haartrockner;25126708; CHF 95.04 ;1;; CHF 95.04 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Game;Mario Kart 8 Deluxe;15621090; CHF 41.15 ;1;; CHF 41.15 ;AJ;;;;;
24.05.2024;;Game;"Minecraft (Switch; Multilingual)";15621283; CHF 20.56 ;1;; CHF 20.56 ;AJ;;;;;
24.05.2024;;Game;"Switch Sports (Switch; DE)";18954019; CHF 32.78 ;2;; CHF 65.56 ;AJ;;;;;
24.05.2024;;Game;"Animal Crossing: New Horizons (Switch; Multilingual)";15621693; CHF 39.26 ;1;; CHF 39.26 ;AJ;;;;;
24.05.2024;;Game;"Animal Crossing: New Horizons (Switch; Multilingual)";15621693; CHF 39.26 ;1;; CHF 39.26 ;AJ;;;;;
24.05.2024;;Game;"Super Smash Bros. Ultimate (Switch; Multilingual)";15621299; CHF 44.67 ;1;; CHF 44.67 ;AJ;;;;;
20.09.2024;;Game;"NHL 24 (PS5; IT; FR; DE)";37522441; CHF 52.00 ;1;; CHF 52.00 ;AJ;;;;;
;;Game;"The Legend of Zelda: Tears of the Kingdom (Switch; FR; IT; DE; EN)";24136833; CHF 43.19 ;1;; CHF 43.19 ;AJ;;;;;
;;Game;"It Takes Two (Switch; FR; IT; DE)";22210925;;1;; CHF -   ;AJ;;;;;
;;Game;"Super Mario Odyssey (Switch; Multilingual)";15621298; CHF 37.50 ;1;; CHF 37.50 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Gaming Controller;Xbox Wireless Controller Elite;11229514; CHF 116.57 ;2;; CHF 233.14 ;AJ;;;;;
24.05.2024;;Gaming Controller;Joy-Con Set Lila/Orange (Switch);11767722; CHF 55.55 ;2;; CHF 111.10 ;AJ;;;;;
